indicativo,p_max,np_100,np_001,np_300,p_mes,np_010,fecha,tm_min,ta_max,ts_min,nt_30,ta_min,nt_00,ti_max,tm_mes,tm_max,year,e,hr,n_cub,n_des,n_nub
2166Y,22.8(30),5,19,0,121.2,15,2003-10,,,,,,,,,,2003,,,,,
2166Y,11.6(23),1,15,0,48.8,8,2003-11,,,,,,,,,,2003,,,,,
2166Y,5.6(29),0,15,0,26.2,5,2003-12,0.4,16.2(21),6.0,0,-3.7(17),16,3.0,4.7,8.9,2003,,,,,
2166Y,,,,,,,2003-13,,,,,,,,,,2003,,,,,
2166Y,,,,,,,2003-1,,,,,,,,,,2003,,,,,
2166Y,10.4(18),2,13,0,42.6,8,2003-2,,,,,,,,,,2003,,,,,
2166Y,14.8(22),1,10,0,29.0,5,2003-3,,,,,,,,,,2003,,,,,
2166Y,15.0(19),1,10,0,38.2,8,2003-4,,,,,,,,,,2003,,,,,
2166Y,6.8(31),0,7,0,26.2,6,2003-5,,,,,,,,,,2003,,,,,
2166Y,6.4(12),0,9,0,19.4,8,2003-6,,,,,,,,,,2003,,,,,
2166Y,5.0(15),0,6,0,11.0,3,2003-7,,,,,,,,,,2003,,,,,
2166Y,8.6(27),0,10,0,27.2,6,2003-8,,,,,,,,,,2003,,,,,
2166Y,17.6(30),2,8,0,39.6,4,2003-9,,,,,,,,,,2003,,,,,
2166Y,,,,,,,2004-10,7.1,30.6(04),13.9,1,0.0(13),1,10.6,13.4,19.7,2004,,,,,
2166Y,12.8(03),2,9,0,33.0,3,2004-11,1.0,17.2(06),9.0,0,-3.9(27),10,1.9,5.8,10.5,2004,,,,,
2166Y,,,,,,,2004-12,-0.1,16.0(18),4.4,0,-7.4(28),16,1.6,4.4,8.9,2004,,,,,
2166Y,,,,,,,2004-13,,,,,,,,,,2004,,,,,
2166Y,5.6(26),0,10,0,22.6,6,2004-1,1.6,16.9(09),9.4,0,-4.8(21),14,3.7,5.8,9.9,2004,,,,,
2166Y,5.4(21),0,6,0,13.2,3,2004-2,-1.1,21.9(05),7.3,0,-5.6(20),19,4.4,5.8,12.6,2004,,,,,
2166Y,0.6(02),0,1,0,0.6,0,2004-3,1.0,21.5(20),6.7,0,-7.8(02),13,5.3,7.1,13.3,2004,,,,,
2166Y,0.0(--),0,0,0,0.0,0,2004-4,2.5,25.2(26),8.2,0,-1.6(10),4,8.8,9.2,15.8,2004,,,,,
2166Y,0.2(04),0,1,0,0.2,0,2004-5,6.4,27.6(20),11.8,0,-1.9(08),1,10.7,12.9,19.3,2004,,,,,
2166Y,0.0(--),0,0,0,0.0,0,2004-6,11.6,35.7(27),17.3,12,6.4(03),0,21.5,20.3,28.9,2004,,,,,
2166Y,0.0(--),0,0,0,0.0,0,2004-7,11.7,36.0(31),17.1,18,4.6(13),0,20.0,20.7,29.7,2004,,,,,
2166Y,,,,,,,2004-8,,,,,,,,,,2004,,,,,
2166Y,,,,,,,2004-9,9.1,30.4(09),16.9,3,3.2(28),0,19.4,18.1,27.0,2004,,,,,
2166Y,28.6(30),3,12,0,97.2,11,2005-10,,,,,,,,,,2005,,,,,
2166Y,11.0(12),1,5,0,29.6,5,2005-11,,,,,,,,,,2005,,,,,
2166Y,5.2(27),0,7,0,17.4,6,2005-12,-1.5,14.3(22),7.5,0,-10.3(23),21,4.8,4.1,9.8,2005,,,,,
2166Y,28.6(30/oct),8,74,0,276.6,52,2005-13,,,,,,,,,,2005,,,,,
2166Y,1.6(13),0,4,0,2.8,1,2005-1,-2.3,13.6(15),5.6,0,-7.8(10),26,-0.3,2.6,7.4,2005,,,,,
2166Y,3.4(07),0,6,0,7.2,3,2005-2,-3.6,15.9(13),1.8,0,-8.6(25),26,-0.8,2.7,8.8,2005,,,,,
2166Y,3.8(26),0,6,0,9.4,4,2005-3,-0.5,23.8(20),11.9,0,-11.3(02),15,3.8,7.7,15.8,2005,,,,,
2166Y,10.4(03),1,9,0,35.4,9,2005-4,4.0,29.3(29),9.5,0,-2.2(09),5,8.6,10.9,17.9,2005,,,,,
2166Y,8.0(11),0,8,0,17.6,5,2005-5,7.8,34.3(26),14.7,4,0.2(06),0,15.7,15.5,23.1,2005,,,,,
2166Y,13.4(22),2,6,0,29.2,4,2005-6,,,,,,,,,,2005,,,,,
2166Y,1.8(20),0,5,0,3.4,1,2005-7,,,,,,,,,,2005,,,,,
2166Y,20.8(16),1,2,0,24.4,2,2005-8,,,,,,,,,,2005,,,,,
2166Y,1.8(06),0,4,0,3.0,1,2005-9,,,,,,,,,,2005,,,,,
2166Y,24.2(22),1,13,0,65.6,10,2006-10,7.7,29.4(28),15.1,0,1.1(12),0,14.7,14.8,21.8,2006,,,,,
2166Y,7.0(23),0,15,0,38.6,12,2006-11,,,,,,,,,,2006,,,,,
2166Y,7.2(05),0,8,0,17.4,4,2006-12,-1.1,16.2(31),11.1,0,-7.6(25),21,2.4,4.2,9.4,2006,,,,,
2166Y,24.2(22/oct),7,108,0,373.0,73,2006-13,,,,,,,,,,2006,,,,,
2166Y,9.2(06),0,7,0,19.4,2,2006-1,-1.2,11.8(22),4.3,0,-7.2(28),20,3.1,3.1,7.4,2006,,,,,
2166Y,14.2(26),2,5,0,38.4,5,2006-2,-2.6,17.6(13),4.4,0,-9.2(28),21,2.8,4.1,10.6,2006,,,,,
2166Y,8.0(04),0,13,0,30.4,7,2006-3,3.0,22.4(30),8.8,0,-6.8(01),8,6.1,9.0,15.1,2006,,,,,
2166Y,12.8(16),1,10,0,45.4,8,2006-4,4.4,25.0(04),9.0,0,-2.4(11),5,11.2,11.3,18.2,2006,,,,,
2166Y,5.0(05),0,12,0,21.6,9,2006-5,7.9,31.7(17),13.1,3,-0.5(01),1,15.9,16.0,24.0,2006,,,,,
2166Y,24.0(24),3,12,0,68.2,6,2006-6,11.8,34.5(07),17.1,8,3.0(02),0,22.5,20.2,28.6,2006,,,,,
2166Y,5.6(15),0,3,0,7.4,2,2006-7,14.6,36.7(10),18.8,25,10.5(07),0,25.4,23.3,31.9,2006,,,,,
2166Y,0.0(--),0,0,0,0.0,0,2006-8,11.3,34.0(31),14.7,7,6.9(20),0,18.7,19.6,27.8,2006,,,,,
2166Y,5.2(24),0,10,0,20.6,8,2006-9,10.6,36.5(04),16.8,12,4.5(16),0,17.1,18.8,27.0,2006,,,,,
2166Y,,,,,,,2007-10,4.4,24.2(14),13.9,0,-1.4(21),4,11.5,12.1,19.6,2007,,,,,
2166Y,18.0(19),2,4,0,34.2,3,2007-11,-1.3,20.9(02),5.7,0,-10.8(17),19,6.9,6.5,14.2,2007,,,,,
2166Y,,,,,,,2007-12,,,,,,,,,,2007,,,,,
2166Y,,,,,,,2007-13,,,,,,,,,,2007,,,,,
2166Y,8.8(22),0,10,0,18.4,4,2007-1,-0.5,15.9(19),6.1,0,-9.0(28),18,0.6,4.6,9.5,2007,,,,,
